MÊS,ANO,PIB,PIB_CONS,vol_PIB_BRASIL,vol_PIB_GOIAS,IBOVESPA_POR,DOLAR,SELIC,Desemprego(),PJ total,PF não rotativo,IPCA,Salário
03,2011,6.6,106440499571471,,,1.79,16692,11.17,,,,6.3,540
04,2011,,,,,-3.58,15776,11.67,,,,6.51,540
05,2011,,,,,-2.29,16328,11.92,,,,6.55,540
06,2011,5.6,815324255753946,,,-3.43,1596,11.92,,,,6.71,540
07,2011,,,,,-5.74,15743,12.17,,,,6.87,540
08,2011,,,,,-3.96,15956,12.42,,,,7.23,540
09,2011,4.8,819443441838321,,,-7.38,17106,11.9,,,,7.31,540
10,2011,,,,,11.49,17376,11.9,,,,6.97,540
11,2011,,,,,-2.51,17649,11.4,,,,6.64,540
12,2011,04,824735293122698,,,-0.21,18609,10.9,,,,6.5,540
01,2012,,,4814760000,138757825,11.13,17853,10.9,,,,6.22,622
02,2012,,,,,4.34,17158,10.4,,,,5.85,622
03,2012,3.1,827785857781891,,,-1.98,18006,9.65,7.9,,,5.24,622
04,2012,,,,,-4.17,18364,9.65,7.7,,,5.1,622
05,2012,,,,,-11.86,19941,8.9,7.6,,,4.99,622
06,2012,2.2,68423097934855,,,-0.25,20443,8.39,7.5,,,4.92,622
07,2012,,,,,3.21,20332,8.39,7.4,,,5.2,622
08,2012,,,,,1.72,20338,7.89,7.3,,,5.24,622
09,2012,1.9,516325927489942,,,3.71,20234,7.39,7.1,,,5.28,622
10,2012,,,,,-3.56,20139,7.39,6.9,,,5.45,622
11,2012,,,,,0.71,20382,7.14,6.8,,,5.53,622
12,2012,1.9,318398246154896,,,6.05,2084,7.14,6.9,,,5.84,622
01,2013,,,5331618957,151300175,-1.95,20374,7.14,7.2,,,6.15,678
02,2013,,,,,-3.91,1.96,7.12,7.7,7.56,3.8,6.31,678
03,2013,2.2,146045329763156,,,-1.87,19749,7.12,08,6.14,4.17,6.59,678
04,2013,,,,,-0.78,1979,7.16,7.8,5.62,5.44,6.49,678
05,2013,,,,,-4.3,20233,7.4,7.6,05,5.22,6.5,678
06,2013,2.9,296312493393274,,,-11.31,21367,7.9,7.4,4.28,4.59,6.7,678
07,2013,,,,,1.64,22548,7.9,7.3,3.6,4.93,6.27,678
08,2013,,,,,3.68,23434,8.4,7.1,3.38,4.93,6.09,678
09,2013,03,365421210210184,,,4.65,22785,8.9,6.9,4.02,8.02,5.86,678
10,2013,,,,,3.66,21818,8.9,6.7,2.46,7.38,5.84,678
11,2013,,,,,-3.27,23289,9.4,6.5,2.22,8.73,5.77,678
12,2013,03,449560204647179,,,-1.86,23354,9.9,6.2,3.01,10.53,5.91,678
01,2014,,,5778952780,165015318,-7.51,2347,9.9,6.4,2.61,10.13,5.59,724
02,2014,,,,,-1.14,23924,10.4,6.7,2.7,11.22,5.68,724
03,2014,3.2,61847901075033,,,7.05,23638,10.65,7.2,3.17,10.34,6.15,724
04,2014,,,,,2.4,22257,10.65,7.1,2.71,8.08,6.28,724
05,2014,,,,,-0.75,22166,10.9,07,1.73,7.5,6.37,724
06,2014,2.1,342574838394354,,,3.76,22347,10.9,6.8,1.77,7.63,6.52,724
07,2014,,,,,5.01,22195,10.9,6.9,1.43,6.79,6.5,724
08,2014,,,,,9.78,2269,10.9,6.9,1.31,5.25,6.51,724
09,2014,1.2,-0.403866517440454,,,-11.7,23401,10.9,6.8,01,4.15,6.75,724
10,2014,,,,,0.95,24316,10.9,6.6,0.64,5.15,6.59,724
11,2014,,,,,0.17,26136,11.15,6.5,0.19,5.02,6.56,724
12,2014,0.5,-214078536751533,,,-8.62,26717,11.25,6.5,-0.24,4.35,6.41,724
01,2015,,,5995787000,173632450,-6.2,26122,11.75,6.8,-0.32,3.09,7.14,788
02,2015,,,,,9.97,28392,12.25,7.4,-1.72,-0.5,7.7,788
03,2015,-0.7,-639744551353813,,,-0.84,32264,12.25,7.9,-1.23,0.27,8.13,788
04,2015,,,,,9.93,30681,12.75,08,-1.44,-0.17,8.17,788
05,2015,,,,,-6.17,29884,13.25,8.1,-1.35,-1.3,8.47,788
06,2015,-1.3,-833231975664343,,,0.61,31036,13.25,8.3,-1.23,-1.97,8.89,788
07,2015,,,,,-4.17,31532,13.75,8.5,-0.8,-2.83,9.56,788
08,2015,,,,,-8.33,34761,14.25,8.7,-0.65,-2.64,9.53,788
09,2015,-2.2,-778004398255753,,,-3.36,38599,14.25,8.9,-1.28,-4.61,9.49,788
10,2015,,,,,1.8,38344,14.25,8.9,-1.36,-10.06,9.93,788
11,2015,,,,,-1.63,38023,14.25,09,-1.19,-12.49,10.48,788
12,2015,-3.5,-900451545222926,,,-3.92,38703,14.25,8.9,-1.82,-14.73,10.67,788
01,2016,,,6269328000,181759604,-6.79,38711,14.25,9.5,-2.8,-15.76,10.71,880
02,2016,,,,,5.91,39885,14.25,10.2,-2.13,-14.67,10.36,880
03,2016,-4.4,-888953161962599,,,16.97,37116,14.25,10.9,-3.81,-16.66,9.39,880
04,2016,,,,,7.7,35276,14.25,11.2,-4.71,-17.11,9.28,880
05,2016,,,,,-10.09,35041,14.25,11.2,-4.9,-16.7,9.32,880
06,2016,-4.6,-825666263862073,,,6.3,34768,14.25,11.3,-6.28,-16.7,8.84,880
07,2016,,,,,11.22,32656,14.25,11.6,-8.08,-16.98,8.74,880
08,2016,,,,,1.03,31672,14.25,11.8,-8.64,-16.26,8.97,880
09,2016,-4.1,-907294342658205,,,0.8,33326,14.25,11.8,-9.38,-16.42,8.48,880
10,2016,,,,,11.23,31864,14.25,11.8,-9.98,-12.44,7.87,880
11,2016,,,,,-4.65,34446,14,11.8,-10.62,-10.73,6.99,880
12,2016,-3.3,-998419015059882,,,-2.71,3383,13.75,12,-11.56,-9.3,6.29,880
01,2017,,,6583319000,191898690,7.38,32034,13.75,12.6,-10.74,-6.66,5.35,937
02,2017,,,,,3.08,30779,13,13.2,-11.55,-5.84,4.76,937
03,2017,-1.9,-106067912423462,,,-2.52,31629,12.25,13.7,-10.51,-3.01,4.57,937
04,2017,,,,,0.64,31269,12.25,13.6,-10.42,-1.35,4.08,937
05,2017,,,,,-4.12,31011,11.25,13.3,-10.36,1.08,3.6,937
06,2017,-0.9,-113646696179684,,,0.3,32836,10.25,13,-8.9,2.62,03,937
07,2017,,,,,4.8,31899,10.25,12.8,-7.4,4.8,2.71,937
08,2017,,,,,7.46,31976,9.25,12.6,-6.16,5.85,2.46,937
09,2017,0.2,-112926618047969,,,4.88,31255,9.25,12.4,-5.44,9.43,2.54,937
10,2017,,,,,0.02,31572,8.25,12.2,-3.99,10.96,2.7,937
11,2017,,,,,-3.15,32802,7.5,12,-2.77,12.58,2.8,937
12,2017,1.3,-924571291521753,,,6.16,33176,7.5,11.8,-0.37,14.56,2.95,937
01,2018,,,,,11.14,31963,07,12.2,0.35,15.21,2.86,954
02,2018,,,,,0.52,32208,07,12.6,3.21,16.23,2.84,954
03,2018,1.6,-783153025099375,,,0.01,32859,6.75,13.1,3.57,15.79,2.68,954
04,2018,,,,,0.88,34105,6.5,12.9,7.05,17.59,2.76,954
05,2018,,,,,-10.87,36753,6.5,12.7,8.81,16.48,2.86,954
06,2018,1.6,-60059111716009,,,-5.2,37738,6.5,12.4,9.15,16.05,4.39,954
07,2018,,,,,8.88,38745,6.5,12.3,11.25,16.5,4.48,954
08,2018,,,,,-3.21,39134,6.5,12.1,12.17,16.85,4.19,954
09,2018,1.6,-400811561039314,,,3.48,41879,6.5,11.9,13.77,15.84,4.53,954
10,2018,,,,,10.19,37332,6.5,11.7,15.03,15.72,4.56,954
11,2018,,,,,2.38,37924,6.5,11.6,15.53,15.91,4.05,954
12,2018,1.3,-381688175030953,,,-1.81,3909,6.5,11.6,15.2,15.78,3.75,954
01,2019,,,,,10.82,36513,6.5,12,15.51,15.74,3.78,998
02,2019,,,,,,37379,6.5,12.4,14.54,16.84,3.89,998
03,2019,1.1,-270623875296543,,,,38961,6.5,12.7,14.67,16.88,4.58,998
04,2019,,,,,,39447,6.5,12.5,12.55,16.65,4.94,998
05,2019,,,,,,39401,6.5,12.3,13.11,17.73,4.66,998
06,2019,1.1,-114430908891238,,,,38316,6.5,12,13.09,18.46,3.37,998
07,2019,,,,,,37643,6.5,11.8,12.36,19.52,3.22,998
08,2019,,,,,,41379,06,11.8,11.59,19.39,3.43,998
09,2019,01,0.445588419601206,,,,41638,06,11.8,12.33,21.05,2.89,998
10,2019,,,,,,40035,5.5,11.6,11.62,21.43,2.54,998
11,2019,,,,,,42234,05,11.2,12.24,21.24,3.27,998
12,2019,1.1,155293708550905,,,,40301,05,11,13.9,22.47,4.31,998
01,2020,,,,,,42689,4.5,11.2,13.97,22.13,4.19,1039
02,2020,,,,,,44981,4.5,,,,4.01,1045
03,2020,,,,,,,4.25,,,,,
04,2020,,,,,,,,,,,,
