Mes,Ano,PIB,PIB_CONS,vol_PIB_BRASIL,vol_PIB_GOIAS,IBOVESPA_POR,DOLAR,SELIC,Desemprego,PJ_total,PF_rotativo,IPCA,Salario
11,2010,,,,,-4.2,17.198,10.66,,,,5.63,510
12,2010,7.5,"131009998963116,00",,,2.36,16.988,10.66,,,,5.91,510
01,2011,,,4376382000,121296721,-3.94,16.843,10.66,,,,5.99,540
02,2011,,,,,1.21,16.682,11.17,,,,6.01,540
03,2011,6.6,"106440499571471,00",,,1.79,16.692,11.17,,,,6.3,540
04,2011,,,,,-3.58,15.776,11.67,,,,6.51,540
05,2011,,,,,-2.29,16.328,11.92,,,,6.55,540
06,2011,5.6,"815324255753946,00",,,-3.43,1.596,11.92,,,,6.71,540
07,2011,,,,,-5.74,15.743,12.17,,,,6.87,540
08,2011,,,,,-3.96,15.956,12.42,,,,7.23,540
09,2011,4.8,"819443441838321,00",,,-7.38,17.106,11.9,,,,7.31,540
10,2011,,,,,11.49,17.376,11.9,,,,6.97,540
11,2011,,,,,-2.51,17.649,11.4,,,,6.64,540
12,2011,4,"824735293122698,00",,,-0.21,18.609,10.9,,,,6.5,540
01,2012,,,4814760000,138757825,11.13,17.853,10.9,,,,6.22,622
02,2012,,,,,4.34,17.158,10.4,,,,5.85,622
03,2012,3.1,"827785857781891,00",,,-1.98,18.006,9.65,7.9,,,5.24,622
04,2012,,,,,-4.17,18.364,9.65,7.7,,,5.1,622
05,2012,,,,,-11.86,19.941,8.9,7.6,,,4.99,622
06,2012,2.2,"68423097934855,00",,,-0.25,20.443,8.39,7.5,,,4.92,622
07,2012,,,,,3.21,20.332,8.39,7.4,,,5.2,622
08,2012,,,,,1.72,20.338,7.89,7.3,,,5.24,622
09,2012,1.9,"516325927489942,00",,,3.71,20.234,7.39,7.1,,,5.28,622
10,2012,,,,,-3.56,20.139,7.39,6.9,,,5.45,622
11,2012,,,,,0.71,20.382,7.14,6.8,,,5.53,622
12,2012,1.9,"318398246154896,00",,,6.05,2.084,7.14,6.9,,,5.84,622
01,2013,,,5331618957,151300175,-1.95,20.374,7.14,7.2,,,6.15,"678,00"
02,2013,,,,,-3.91,1.96,7.12,7.7,7.56,3.8,6.31,"678,00"
03,2013,2.2,"146045329763156,00",,,-1.87,19.749,7.12,"8,00",6.14,4.17,6.59,"678,00"
04,2013,,,,,-0.78,1.979,7.16,7.8,5.62,5.44,6.49,"678,00"
05,2013,,,,,-4.3,20.233,7.4,7.6,"5,00",5.22,6.5,"678,00"
06,2013,2.9,"296312493393274,00",,,-11.31,21.367,7.9,7.4,4.28,4.59,6.7,"678,00"
07,2013,,,,,1.64,22.548,7.9,7.3,3.6,4.93,6.27,"678,00"
08,2013,,,,,3.68,23.434,8.4,7.1,3.38,4.93,6.09,"678,00"
09,2013,3,"365421210210184,00",,,4.65,22.785,8.9,6.9,4.02,8.02,5.86,"678,00"
10,2013,,,,,3.66,21.818,8.9,6.7,2.46,7.38,5.84,"678,00"
11,2013,,,,,-3.27,23.289,9.4,6.5,2.22,8.73,5.77,"678,00"
12,2013,3,"449560204647179,00",,,-1.86,23.354,9.9,6.2,3.01,10.53,5.91,"678,00"
01,2014,,,5778952780,165015318,-7.51,2.347,9.9,6.4,2.61,10.13,5.59,"724,00"
02,2014,,,,,-1.14,23.924,10.4,6.7,2.7,11.22,5.68,"724,00"
03,2014,3.2,"61847901075033,00",,,7.05,23.638,10.65,7.2,3.17,10.34,6.15,"724,00"
04,2014,,,,,2.4,22.257,10.65,7.1,2.71,8.08,6.28,"724,00"
05,2014,,,,,-0.75,22.166,10.9,"7,00",1.73,7.5,6.37,"724,00"
06,2014,2.1,"342574838394354,00",,,3.76,22.347,10.9,6.8,1.77,7.63,6.52,"724,00"
07,2014,,,,,5.01,22.195,10.9,6.9,1.43,6.79,6.5,"724,00"
08,2014,,,,,9.78,2.269,10.9,6.9,1.31,5.25,6.51,"724,00"
09,2014,1.2,-0.403866517440454,,,-11.7,23.401,10.9,6.8,"1,00",4.15,6.75,"724,00"
10,2014,,,,,0.95,24.316,10.9,6.6,0.64,5.15,6.59,"724,00"
11,2014,,,,,0.17,26.136,11.15,6.5,0.19,5.02,6.56,"724,00"
12,2014,0.5,"-214078536751533,00",,,-8.62,26.717,11.25,6.5,-0.24,4.35,6.41,"724,00"
01,2015,,,5995787000,173632450,-6.2,26.122,11.75,6.8,-0.32,3.09,7.14,"788,00"
02,2015,,,,,9.97,28.392,12.25,7.4,-1.72,-0.5,7.7,"788,00"
03,2015,-0.7,"-639744551353813,00",,,-0.84,32.264,12.25,7.9,-1.23,0.27,8.13,"788,00"
04,2015,,,,,9.93,30.681,12.75,8,-1.44,-0.17,8.17,"788,00"
05,2015,,,,,-6.17,29.884,13.25,8.1,-1.35,-1.3,8.47,"788,00"
06,2015,-1.3,"-833231975664343,00",,,0.61,31.036,13.25,8.3,-1.23,-1.97,8.89,"788,00"
07,2015,,,,,-4.17,31.532,13.75,8.5,-0.8,-2.83,9.56,"788,00"
08,2015,,,,,-8.33,34.761,14.25,8.7,-0.65,-2.64,9.53,"788,00"
09,2015,-2.2,"-778004398255753,00",,,-3.36,38.599,14.25,8.9,-1.28,-4.61,9.49,"788,00"
10,2015,,,,,1.8,38.344,14.25,8.9,-1.36,-10.06,9.93,"788,00"
11,2015,,,,,-1.63,38.023,14.25,9,-1.19,-12.49,10.48,"788,00"
12,2015,-3.5,"-900451545222926,00",,,-3.92,38.703,14.25,8.9,-1.82,-14.73,10.67,"788,00"
01,2016,,,6269328000,181759604,-6.79,38.711,14.25,9.5,-2.8,-15.76,10.71,"880,00"
02,2016,,,,,5.91,39.885,14.25,10.2,-2.13,-14.67,10.36,"880,00"
03,2016,-4.4,"-888953161962599,00",,,16.97,37.116,14.25,10.9,-3.81,-16.66,9.39,"880,00"
04,2016,,,,,7.7,35.276,14.25,11.2,-4.71,-17.11,9.28,"880,00"
05,2016,,,,,-10.09,35.041,14.25,11.2,-4.9,-16.7,9.32,"880,00"
06,2016,-4.6,"-825666263862073,00",,,6.3,34.768,14.25,11.3,-6.28,-16.7,8.84,"880,00"
07,2016,,,,,11.22,32.656,14.25,11.6,-8.08,-16.98,8.74,"880,00"
08,2016,,,,,1.03,31.672,14.25,11.8,-8.64,-16.26,8.97,"880,00"
09,2016,-4.1,"-907294342658205,00",,,0.8,33.326,14.25,11.8,-9.38,-16.42,8.48,"880,00"
10,2016,,,,,11.23,31.864,14.25,11.8,-9.98,-12.44,7.87,"880,00"
11,2016,,,,,-4.65,34.446,14,11.8,-10.62,-10.73,6.99,"880,00"
12,2016,-3.3,"-998419015059882,00",,,-2.71,3.383,13.75,12,-11.56,-9.3,6.29,"880,00"
01,2017,,,6583319000,191898690,7.38,32.034,13.75,12.6,-10.74,-6.66,5.35,"937,00"
02,2017,,,,,3.08,30.779,13,13.2,-11.55,-5.84,4.76,"937,00"
03,2017,-1.9,"-106067912423462,00",,,-2.52,31.629,12.25,13.7,-10.51,-3.01,4.57,"937,00"
04,2017,,,,,0.64,31.269,12.25,13.6,-10.42,-1.35,4.08,"937,00"
05,2017,,,,,-4.12,31.011,11.25,13.3,-10.36,1.08,3.6,"937,00"
06,2017,-0.9,"-113646696179684,00",,,0.3,32.836,10.25,13,-8.9,2.62,"3,00","937,00"
07,2017,,,,,4.8,31.899,10.25,12.8,-7.4,4.8,2.71,"937,00"
08,2017,,,,,7.46,31.976,9.25,12.6,-6.16,5.85,2.46,"937,00"
09,2017,0.2,"-112926618047969,00",,,4.88,31.255,9.25,12.4,-5.44,9.43,2.54,"937,00"
10,2017,,,,,0.02,31.572,8.25,12.2,-3.99,10.96,2.7,"937,00"
11,2017,,,,,-3.15,32.802,7.5,12,-2.77,12.58,2.8,"937,00"
12,2017,1.3,"-924571291521753,00",,,6.16,33.176,7.5,11.8,-0.37,14.56,2.95,"937,00"
01,2018,,,,,11.14,31.963,7,12.2,0.35,15.21,2.86,"954,00"
02,2018,,,,,0.52,32.208,7,12.6,3.21,16.23,2.84,"954,00"
03,2018,1.6,"-783153025099375,00",,,0.01,32.859,6.75,13.1,3.57,15.79,2.68,"954,00"
04,2018,,,,,0.88,34.105,6.5,12.9,7.05,17.59,2.76,"954,00"
05,2018,,,,,-10.87,36.753,6.5,12.7,8.81,16.48,2.86,"954,00"
06,2018,1.6,"-60059111716009,00",,,-5.2,37.738,6.5,12.4,9.15,16.05,4.39,"954,00"
07,2018,,,,,8.88,38.745,6.5,12.3,11.25,16.5,4.48,"954,00"
08,2018,,,,,-3.21,39.134,6.5,12.1,12.17,16.85,4.19,"954,00"
09,2018,1.6,"-400811561039314,00",,,3.48,41.879,6.5,11.9,13.77,15.84,4.53,"954,00"
10,2018,,,,,10.19,37.332,6.5,11.7,15.03,15.72,4.56,"954,00"
11,2018,,,,,2.38,37.924,6.5,11.6,15.53,15.91,4.05,"954,00"
12,2018,1.3,"-381688175030953,00",,,-1.81,3.909,6.5,11.6,15.2,15.78,3.75,"954,00"
01,2019,,,,,10.82,36.513,6.5,12,15.51,15.74,3.78,"998,00"
02,2019,,,,,,37.379,6.5,12.4,14.54,16.84,3.89,"998,00"
03,2019,1.1,"-270623875296543,00",,,,38.961,6.5,12.7,14.67,16.88,4.58,"998,00"
04,2019,,,,,,39.447,6.5,12.5,12.55,16.65,4.94,"998,00"
05,2019,,,,,,39.401,6.5,12.3,13.11,17.73,4.66,"998,00"
06,2019,1.1,"-114430908891238,00",,,,38.316,6.5,12,13.09,18.46,3.37,"998,00"
07,2019,,,,,,37.643,6.5,11.8,12.36,19.52,3.22,"998,00"
08,2019,,,,,,41.379,6,11.8,11.59,19.39,3.43,"998,00"
09,2019,1,0.445588419601206,,,,41.638,6,11.8,12.33,21.05,2.89,"998,00"
10,2019,,,,,,40.035,5.5,11.6,11.62,21.43,2.54,"998,00"
11,2019,,,,,,42.234,5,11.2,12.24,21.24,3.27,"998,00"
12,2019,1.1,"155293708550905,00",,,,40.301,5,11,13.9,22.47,4.31,"998,00"
01,2020,,,,,,42.689,4.5,11.2,13.97,22.13,4.19,"1039,00"
02,2020,,,,,,44.981,4.5,,,,4.01,"1045,00"
03,2020,,,,,,,4.25,,,,,
04,2020,,,,,,,,,,,,
